City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
nanortalik,60.14,-45.24,42.78,77,57,12.1,GL,1602861203
longyearbyen,78.22,15.64,24.8,68,40,11.41,SJ,1602861203
punta arenas,-53.15,-70.92,42.8,87,75,6.93,CL,1602861203
mopti,14.67,-4.0,100.35,20,98,5.28,ML,1602861204
north bend,43.41,-124.22,53.01,93,1,3.36,US,1602861204
hofn,64.25,-15.21,48.2,61,30,10.29,IS,1602861204
dunedin,-45.87,170.5,44.01,83,76,1.01,NZ,1602861204
saint-philippe,-21.36,55.77,75.2,78,50,10.29,RE,1602861204
qaanaaq,77.48,-69.36,23.99,82,6,7.34,GL,1602860996
butaritari,3.07,172.79,81.79,74,0,13.69,KI,1602861204
atuona,-9.8,-139.03,78.1,79,1,19.37,PF,1602861005
nikolskoye,59.7,30.79,41.0,65,75,6.71,RU,1602861205
tarakan,3.3,117.63,80.94,76,100,4.43,ID,1602861205
mumbwa,-14.98,27.06,85.08,25,0,8.43,ZM,1602860969
gao,16.64,1.64,103.23,9,1,6.78,ML,1602861205
guerrero negro,27.98,-114.06,74.64,60,0,9.95,MX,1602861205
saint george,37.1,-113.58,57.2,19,1,5.82,US,1602861205
laguna,38.42,-121.42,62.01,58,1,3.36,US,1602861205
bengkulu,-3.8,102.27,78.01,85,100,3.85,ID,1602861205
san patricio,28.02,-97.52,66.2,77,90,17.22,US,1602861206
hilo,19.73,-155.09,73.4,73,20,5.82,US,1602861005
hays,30.05,-98.03,64.99,53,90,17.13,US,1602861206
cherskiy,68.75,161.3,26.62,95,55,4.05,RU,1602860972
upernavik,72.79,-56.15,37.35,74,100,9.48,GL,1602860963
thompson,55.74,-97.86,26.6,86,90,12.75,CA,1602861206
arraial do cabo,-22.97,-42.03,75.2,69,75,11.41,BR,1602861207
staryy nadym,65.61,72.68,32.34,98,100,13.69,RU,1602861207
tiksi,71.69,128.87,21.99,98,99,6.8,RU,1602861207
svetlogorsk,52.63,29.73,48.51,82,39,5.21,BY,1602861207
san cristobal,7.77,-72.22,89.6,46,20,20.8,VE,1602861063
airai,-8.93,125.41,60.93,90,92,1.5,TL,1602861207
samarai,-10.62,150.67,78.13,85,40,12.28,PG,1602861207
kruisfontein,-34.0,24.73,71.01,72,34,8.99,ZA,1602861207
povenets,62.85,34.83,37.83,79,91,12.75,RU,1602861208
